t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
11259,0.1587,-0.0052,0.9577,0.0,0.4972,0.0,0.1217
11275,0.1566,-0.0059,0.9613,0.0,0.5351,0.0,0.1233
11290,0.1539,-0.0056,0.9652,0.0,0.6358,0.0,0.2054
11547,0.1591,-0.0096,0.9598,0.0,0.7164,0.0,0.2337
11563,0.156,-0.0076,0.96,0.0,0.6334,0.0,0.1909
11580,0.1573,-0.007,0.9619,0.0,0.5407,0.0,0.1136
11596,0.1574,-0.007,0.9595,0.0,0.5439,0.0,0.1152
11613,0.1551,-0.009,0.9634,0.0,0.6164,0.0,0.1652
11629,0.1601,-0.0124,0.9617,0.0,0.6705,0.0,0.2313
11645,0.1583,-0.0084,0.9568,0.0,0.635,0.0,0.2184
11662,0.1597,-0.0082,0.958,0.0,0.5447,0.0,0.1531
11678,0.1601,-0.0092,0.9612,0.0,0.5004,0.0,0.1023
11694,0.1541,-0.0033,0.9609,0.0,0.5625,0.0,0.1354
11711,0.1514,-0.0073,0.965,0.0,0.6358,0.0,0.1982
11727,0.1587,-0.0107,0.9655,0.0,0.656,0.0,0.2377
11744,0.159,-0.005,0.951,0.0,0.5866,0.0,0.199
11760,0.1571,-0.0104,0.9615,0.0,0.5004,0.0,0.1217
11776,0.1619,-0.0107,0.9656,0.0,0.5198,0.0,0.1104
11793,0.1599,-0.009,0.9487,0.0,0.5979,0.0,0.17
11809,0.1565,-0.0119,0.9623,0.0,0.6503,0.0,0.2248
11825,0.1634,-0.0077,0.9673,0.0,0.6246,0.0,0.2224
11842,0.158,-0.0034,0.9471,0.0,0.5359,0.0,0.1619
11858,0.1541,-0.0061,0.9635,0.0,0.494,0.0,0.1112
11875,0.1541,-0.0076,0.9708,0.0,0.5488,0.0,0.1313
11891,0.1492,-0.0082,0.9583,0.0,0.6254,0.0,0.1909
11908,0.1492,-0.0077,0.968,0.0,0.6552,0.0,0.2377
11925,0.1572,-0.0079,0.9623,0.0,0.6181,0.0,0.2232
11942,0.158,-0.008,0.9552,0.0,0.5407,0.0,0.1603
11958,0.16,-0.0055,0.9598,0.0,0.494,0.0,0.0975
11974,0.1517,-0.005,0.9642,0.0,0.5633,0.0,0.145
11991,0.1527,-0.0052,0.9627,0.0,0.6407,0.0,0.2095
12007,0.1485,-0.0026,0.9633,0.0,0.6503,0.0,0.2377
12024,0.1522,-0.0045,0.9669,0.0,0.5778,0.0,0.199
12040,0.1484,-0.0078,0.9634,0.0,0.502,0.0,0.1233
12056,0.1515,0.0019,0.9702,0.0,0.5125,0.0,0.1104
12073,0.1494,-0.0016,0.9624,0.0,0.5891,0.0,0.1611
12089,0.1485,-0.0111,0.9674,0.0,0.6487,0.0,0.2208
12106,0.1551,-0.0179,0.9679,0.0,0.6374,0.0,0.2264
12122,0.1575,-0.0135,0.9609,0.0,0.5472,0.0,0.1708
12139,0.1651,-0.0101,0.9627,0.0,0.494,0.0,0.1096
12155,0.1666,-0.0189,0.9593,0.0,0.552,0.0,0.1289
12171,0.191,-0.019,0.9502,0.0,0.631,0.0,0.1974
12188,0.1975,-0.0135,0.9333,0.0,0.6544,0.0,0.2369
12204,0.1906,-0.0188,0.942,0.0,0.5882,0.0,0.199
12220,0.1725,-0.0119,0.9585,0.0,0.502,0.0,0.1233
12237,0.1523,-0.0209,0.9671,0.0,0.502,0.0,0.1104
12253,0.1519,-0.0121,0.9716,0.0,0.5826,0.0,0.1523
12270,0.1571,-0.0162,0.9662,0.0,0.6439,0.0,0.2184
12286,0.1619,-0.0107,0.9641,0.0,0.6374,0.0,0.2345
12303,0.172,-0.0136,0.9579,0.0,0.5568,0.0,0.1772
12319,0.1875,-0.0295,0.9499,0.0,0.4932,0.0,0.112
12335,0.1987,-0.023,0.9412,0.0,0.5472,0.0,0.1281
