t_ms,ax,ay,az,emg_env,emg_raw
1224979,0.18945,0.30326,0.90555,0.3956,0.2232
1224995,0.18978,0.30271,0.90675,0.0,0.0056
1225011,0.18843,0.30319,0.90603,0.0,0.1241
1225028,0.18886,0.30299,0.90522,0.0,0.4666
1225044,0.18859,0.30205,0.9063,0.332,0.5343
1225060,0.18889,0.30331,0.90543,0.3989,0.2667
1225076,0.18941,0.30261,0.90386,0.0024,0.0177
1225092,0.18849,0.30276,0.90675,0.0,0.033
1225108,0.18811,0.3027,0.90687,0.0,0.4609
1225124,0.18896,0.30304,0.90641,0.3199,0.5375
1225140,0.18772,0.30384,0.9053,0.3932,0.2675
1225156,0.18903,0.30316,0.90599,0.0177,0.0218
1225172,0.18898,0.30303,0.90694,0.0,0.0234
1225188,0.18904,0.30294,0.90601,0.0,0.4569
1225204,0.18499,0.30042,0.90638,0.3255,0.5391
1225220,0.18985,0.3046,0.90559,0.3972,0.2804
1225236,0.18881,0.30134,0.9071,0.0185,0.025
1225252,0.19039,0.30138,0.90523,0.0,0.0177
1225268,0.18876,0.30242,0.90526,0.0,0.4577
1225284,0.18834,0.30237,0.90579,0.3239,0.5399
1225300,0.18829,0.30475,0.9066,0.3964,0.2796
1225316,0.18973,0.30205,0.90572,0.0137,0.0314
1225332,0.18954,0.30341,0.90652,0.0,0.0137
1225348,0.18819,0.30172,0.90837,0.0,0.4481
1225364,0.18806,0.30221,0.90513,0.3054,0.5343
1225380,0.18821,0.3041,0.90603,0.3972,0.278
1225396,0.18857,0.30582,0.90523,0.0354,0.033
1225412,0.18836,0.30138,0.90689,0.0,0.0008
1225428,0.18913,0.30103,0.90667,0.0,0.4432
1225444,0.18857,0.30436,0.90721,0.2973,0.5367
1225460,0.18903,0.30491,0.90622,0.394,0.2861
1225476,0.18806,0.30384,0.90554,0.062,0.0363
1225492,0.1897,0.30108,0.90799,0.0,0.0
1225508,0.18933,0.30237,0.90654,0.0,0.4473
1225524,0.18954,0.30336,0.90575,0.3006,0.5351
1225540,0.18863,0.30316,0.90687,0.386,0.2836
1225556,0.18866,0.30256,0.90612,0.062,0.0443
1225572,0.1884,0.30326,0.90639,0.0,0.0
1225588,0.18818,0.30279,0.90717,0.0,0.4416
1225604,0.189,0.30408,0.90682,0.2861,0.5343
1225620,0.18892,0.30187,0.90606,0.3956,0.2877
1225636,0.18846,0.30237,0.90588,0.0798,0.0451
1225652,0.18859,0.30345,0.90665,0.0,0.0
1225668,0.18964,0.31073,0.90709,0.0,0.4416
1225684,0.1895,0.30749,0.90785,0.299,0.5391
1225700,0.18853,0.29873,0.90748,0.3956,0.2925
1225716,0.1883,0.30399,0.90587,0.0927,0.0475
1225732,0.18763,0.3019,0.90752,0.0,0.0
1225748,0.18771,0.3031,0.90631,0.0,0.3956
1225764,0.18996,0.30241,0.9058,0.2426,0.5407
1225780,0.18856,0.30405,0.90677,0.3956,0.3465
1225796,0.188,0.30091,0.90556,0.2168,0.0918
1225813,0.18848,0.30218,0.90633,0.0,0.0
1225829,0.18877,0.30374,0.90636,0.0,0.3586
1225845,0.18943,0.30493,0.90624,0.1934,0.5431
1225861,0.18887,0.30294,0.90663,0.4279,0.4077
1225877,0.18939,0.30089,0.90436,0.2804,0.1265
1225893,0.18893,0.30295,0.90657,0.0,0.0
1225909,0.18923,0.30471,0.90725,0.0,0.3682
1225925,0.1889,0.30389,0.90579,0.1974,0.5407
1225941,0.18835,0.30594,0.90683,0.4207,0.4085
1225958,0.18933,0.30381,0.90985,0.386,0.1934
1225974,0.1887,0.302,0.90577,0.0,0.0
1225990,0.18829,0.30418,0.90815,0.0,0.1909
1226006,0.18909,0.30177,0.90644,0.0459,0.4867
1226023,0.18789,0.30379,0.90526,0.3658,0.5222
1226039,0.18886,0.30094,0.90556,0.3844,0.2321
1226055,0.18911,0.3034,0.90571,0.0,0.0081
1226071,0.1891,0.30314,0.9068,0.0,0.116
1226087,0.18868,0.30185,0.90599,0.0,0.4593
1226103,0.18846,0.30196,0.90641,0.3336,0.5375
1226119,0.1878,0.30235,0.90535,0.394,0.2732
1226135,0.19008,0.30324,0.90605,0.0185,0.0201
1226151,0.18839,0.30291,0.90643,0.0,0.0193
1226168,0.18871,0.30218,0.90642,0.0,0.4199
1226184,0.18853,0.30231,0.90626,0.2651,0.5351
1226200,0.18897,0.30338,0.9056,0.3892,0.3239
1226216,0.18932,0.30381,0.90588,0.1708,0.0725
1226232,0.189,0.30357,0.90488,0.0,0.0
1226248,0.18832,0.30232,0.90527,0.0,0.4118
1226264,0.1892,0.30261,0.90474,0.2538,0.5351
1226280,0.18853,0.30252,0.90524,0.3803,0.3247
1226296,0.18919,0.30252,0.90665,0.1732,0.0749
1226312,0.18849,0.30259,0.90719,0.0,0.0
1226328,0.18849,0.30198,0.90526,0.0,0.3715
1226344,0.18885,0.30317,0.90654,0.2119,0.5375
1226360,0.18989,0.30376,0.90697,0.4182,0.3908
1226376,0.18732,0.30262,0.90637,0.2683,0.1136
1226393,0.18764,0.30483,0.90697,0.0,0.0
1226409,0.18856,0.30223,0.90595,0.0,0.3344
1226425,0.18814,0.3041,0.90571,0.1853,0.5343
1226441,0.19033,0.3027,0.90698,0.4191,0.4424
1226457,0.18947,0.30245,0.90593,0.3167,0.1474
1226473,0.18869,0.30169,0.90629,0.0,0.0
1226489,0.18792,0.30262,0.90533,0.0,0.3409
1226505,0.18931,0.3046,0.90428,0.1781,0.5391
1226521,0.18907,0.30384,0.90715,0.4182,0.4376
1226537,0.18913,0.30134,0.90559,0.3183,0.1458
1226553,0.1891,0.30268,0.9058,0.0,0.0
1226569,0.18854,0.30345,0.90624,0.0,0.3006
1226585,0.18814,0.30652,0.90659,0.1434,0.531
1226601,0.18837,0.30487,0.90747,0.4053,0.4851
1226617,0.18948,0.30089,0.90613,0.3723,0.1845
1226634,0.1883,0.30416,0.90633,0.0,0.0
1226650,0.18835,0.30192,0.90654,0.0,0.2264
1226666,0.18828,0.30416,0.90526,0.0556,0.4988
1226682,0.18845,0.30233,0.90689,0.3852,0.5117
1226698,0.18866,0.3016,0.90657,0.3916,0.2232
1226714,0.18847,0.30186,0.90566,0.0,0.0
1226730,0.18913,0.30228,0.90715,0.0,0.2281
1226746,0.18924,0.30283,0.90623,0.054,0.5004
1226762,0.18903,0.30365,0.90531,0.3811,0.5125
1226778,0.18915,0.30334,0.90623,0.3844,0.2208
1226794,0.18884,0.30204,0.90622,0.0,0.0
1226810,0.18899,0.30378,0.90515,0.0,0.1491
1226826,0.1893,0.30424,0.90678,0.0008,0.4714
1226842,0.18822,0.30284,0.90515,0.3545,0.5343
1226859,0.18867,0.30149,0.907,0.3932,0.2514
1226875,0.1883,0.30336,0.90667,0.0,0.0137
1226891,0.18894,0.3033,0.90611,0.0,0.0588
