t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1304568,0.3094,-0.0721,0.9207,0.0,0.519,0.0,0.1789
1304584,0.2995,-0.0701,0.9211,0.0,0.5206,0.0,0.1837
1304599,0.2983,-0.0727,0.9219,0.0,0.5141,0.0,0.1853
1304899,0.3094,-0.0747,0.9211,0.0,0.5713,0.0,0.1829
1304915,0.2994,-0.0737,0.9234,0.0,0.5504,0.0,0.1797
1304932,0.3018,-0.0754,0.9214,0.0,0.5447,0.0,0.1781
1304948,0.3077,-0.0705,0.9148,0.0,0.5415,0.0,0.1829
1304965,0.3066,-0.0715,0.9166,0.0,0.5359,0.0,0.1829
1304981,0.3077,-0.074,0.9226,0.0,0.5302,0.0,0.1837
1304997,0.3067,-0.0722,0.9193,0.0,0.5278,0.0,0.1813
1305014,0.3064,-0.0704,0.9211,0.0,0.5246,0.0,0.1781
1305030,0.3055,-0.072,0.9205,0.0,0.527,0.0,0.1797
1305047,0.3084,-0.0739,0.9167,0.0,0.523,0.0,0.1781
1305063,0.3094,-0.0757,0.9184,0.0,0.5254,0.0,0.1829
1305079,0.3091,-0.072,0.9174,0.0,0.523,0.0,0.1813
1305096,0.3054,-0.0715,0.9191,0.0,0.5198,0.0,0.1764
1305112,0.3067,-0.0704,0.9211,0.0,0.5149,0.0,0.1764
1305129,0.3096,-0.0703,0.9182,0.0,0.5214,0.0,0.1829
1305145,0.3082,-0.0746,0.9159,0.0,0.523,0.0,0.1829
1305162,0.3052,-0.0757,0.9211,0.0,0.5246,0.0,0.1869
1305178,0.301,-0.0746,0.9234,0.0,0.5214,0.0,0.1829
1305195,0.3092,-0.0716,0.9194,0.0,0.5004,0.0,0.1781
1305211,0.3094,-0.0714,0.9169,0.0,0.5125,0.0,0.1789
1305227,0.3094,-0.0737,0.9176,0.0,0.5149,0.0,0.1829
1305244,0.3061,-0.0746,0.9198,0.0,0.5198,0.0,0.1837
1305260,0.3061,-0.0737,0.9194,0.0,0.5238,0.0,0.1829
1305277,0.3001,-0.0717,0.9214,0.0,0.5133,0.0,0.1797
1305293,0.308,-0.0735,0.9185,0.0,0.5149,0.0,0.1756
1305310,0.3068,-0.0745,0.9191,0.0,0.5117,0.0,0.1797
1305326,0.3113,-0.0756,0.9175,0.0,0.5157,0.0,0.1789
1305343,0.3077,-0.0749,0.92,0.0,0.5198,0.0,0.1845
1305359,0.3034,-0.0722,0.9207,0.0,0.5182,0.0,0.1813
1305376,0.3107,-0.0721,0.9195,0.0,0.5085,0.0,0.1764
1305392,0.312,-0.0704,0.9174,0.0,0.5101,0.0,0.1797
1305408,0.309,-0.0726,0.9178,0.0,0.5101,0.0,0.1861
