t_ms,ax,ay,az,emg_env,emg_raw
1347763,0.1461,-0.17912,0.94688,0.2038,0.3699
1347779,0.1466,-0.18233,0.94703,0.4263,0.3674
1347795,0.1486,-0.18316,0.94337,0.3328,0.1861
1347812,0.14289,-0.18288,0.94685,0.0,0.0
1347828,0.14062,-0.17297,0.95226,0.0,0.1249
1347844,0.15901,-0.1675,0.94715,0.145,0.3449
1347859,0.14406,-0.17666,0.95147,0.4021,0.3441
1347875,0.15009,-0.17401,0.94187,0.3175,0.1885
1347892,0.15106,-0.18338,0.94753,0.0,0.0
1347908,0.15734,-0.18585,0.9419,0.0,0.112
1347924,0.15836,-0.19442,0.94189,0.1378,0.3417
1347939,0.15648,-0.18549,0.94014,0.4263,0.357
1347955,0.15321,-0.18864,0.94021,0.3457,0.2168
1347972,0.15059,-0.18396,0.94269,0.0,0.0016
1347988,0.14711,-0.18567,0.94289,0.0,0.1104
1348004,0.14804,-0.18761,0.94278,0.1136,0.3344
1348020,0.14638,-0.19091,0.94294,0.4207,0.4085
1348036,0.1469,-0.18148,0.94675,0.3844,0.2289
1348052,0.14192,-0.18187,0.94966,0.0,0.033
1348068,0.14201,-0.18427,0.94984,0.0,0.058
1348084,0.14388,-0.18676,0.94553,0.0379,0.2885
1348101,0.14798,-0.18697,0.94153,0.3803,0.4199
1348117,0.14806,-0.19126,0.94376,0.3948,0.2804
1348132,0.15289,-0.19254,0.9395,0.0,0.033
1348148,0.14897,-0.18577,0.94167,0.0,0.054
1348164,0.14293,-0.17883,0.95051,0.0201,0.2917
1348181,0.14943,-0.17887,0.94429,0.3747,0.4037
1348197,0.14849,-0.18332,0.94531,0.394,0.2619
1348212,0.15289,-0.19311,0.93809,0.0,0.0346
1348228,0.15582,-0.19598,0.93677,0.0,0.0491
1348244,0.15551,-0.19925,0.93827,0.0234,0.2877
1348261,0.14738,-0.18919,0.94556,0.3731,0.4053
1348277,0.14674,-0.18206,0.94667,0.3964,0.2651
1348293,0.1428,-0.17868,0.94839,0.0,0.0556
1348309,0.14395,-0.18209,0.94636,0.0,0.0
1348325,0.14837,-0.18283,0.94424,0.0,0.2474
1348341,0.14626,-0.18369,0.94676,0.3336,0.4053
1348357,0.14856,-0.18849,0.94345,0.3964,0.2917
1348373,0.14993,-0.18859,0.9386,0.0483,0.0943
1348390,0.14876,-0.18926,0.94431,0.0,0.0
1348406,0.14763,-0.18686,0.94356,0.0,0.2119
1348422,0.14761,-0.1829,0.94339,0.2554,0.4021
1348438,0.1478,-0.18455,0.94545,0.4069,0.307
1348454,0.14866,-0.19164,0.94357,0.1974,0.1378
1348470,0.15076,-0.17614,0.94531,0.0,0.0
1348486,0.15194,-0.18504,0.94239,0.0,0.1748
1348502,0.14969,-0.18536,0.94225,0.2168,0.3795
1348518,0.14781,-0.18797,0.94329,0.4215,0.3312
1348535,0.1509,-0.18805,0.94195,0.2796,0.1732
1348551,0.14951,-0.17956,0.9437,0.0,0.0
1348567,0.14818,-0.1759,0.94579,0.0,0.1402
1348583,0.14902,-0.18457,0.94297,0.1926,0.3707
1348599,0.15123,-0.19328,0.94028,0.4207,0.3989
1348615,0.15062,-0.19373,0.9405,0.3409,0.1926
1348631,0.14577,-0.18553,0.94579,0.0,0.0032
1348647,0.1447,-0.18271,0.94436,0.0,0.1007
1348664,0.14319,-0.18392,0.94556,0.0991,0.3272
1348680,0.14957,-0.19102,0.94086,0.3989,0.4199
1348696,0.14958,-0.19246,0.94002,0.39,0.2514
1348712,0.14385,-0.18362,0.93435,0.0,0.0306
1348728,0.15146,-0.1926,0.95255,0.0,0.0491
1348744,0.14638,-0.17228,0.93882,0.0282,0.2925
1348760,0.14858,-0.16243,0.92693,0.3803,0.4029
1348776,0.14904,-0.1664,0.94551,0.3989,0.2619
1348793,0.15185,-0.20214,0.95317,0.0,0.0556
1348809,0.15209,-0.18328,0.9538,0.0,0.0
1348825,0.14326,-0.19384,0.9465,0.0,0.2538
1348842,0.15118,-0.17744,0.94765,0.1926,0.3827
1348858,0.16114,-0.18334,0.92904,0.4231,0.3263
1348874,0.14091,-0.17648,0.94004,0.2571,0.1547
1348890,0.15015,-0.20056,0.94456,0.0,0.0
1348907,0.14267,-0.18328,0.94394,0.0,0.1434
1348923,0.15052,-0.185,0.95031,0.199,0.3723
1348939,0.14845,-0.18531,0.93922,0.4247,0.3545
1348954,0.1464,-0.18621,0.93999,0.2812,0.1732
1348970,0.14642,-0.18618,0.94351,0.0,0.0
1348987,0.15078,-0.18215,0.94849,0.0,0.1466
1349003,0.14932,-0.18185,0.94951,0.2006,0.3715
1349019,0.15308,-0.18181,0.94442,0.4231,0.3537
1349035,0.15026,-0.18415,0.93929,0.332,0.1926
1349051,0.14754,-0.20606,0.96766,0.0,0.0008
1349067,0.14942,-0.18491,0.94304,0.0,0.1104
1349083,0.14417,-0.16843,0.92527,0.1281,0.3441
1349099,0.1492,-0.19486,0.95391,0.3956,0.3964
1349115,0.14864,-0.16344,0.93056,0.3763,0.2281
1349132,0.14432,-0.18182,0.94286,0.0,0.033
1349148,0.14806,-0.18923,0.95414,0.0,0.0636
1349163,0.14707,-0.17823,0.93995,0.1055,0.332
1349179,0.14746,-0.18616,0.94611,0.4037,0.3908
1349196,0.14631,-0.19019,0.94306,0.3844,0.2611
1349212,0.14967,-0.18673,0.94365,0.0,0.0354
1349228,0.14923,-0.18597,0.9425,0.0,0.0475
1349244,0.14948,-0.18277,0.94354,0.0274,0.2877
1349260,0.14837,-0.18027,0.94441,0.3699,0.4093
1349276,0.14721,-0.1817,0.95184,0.3948,0.2619
1349292,0.14109,-0.17588,0.94893,0.0,0.05
1349308,0.14553,-0.18328,0.94217,0.0,0.0
1349325,0.15392,-0.18154,0.93162,0.0,0.2506
1349341,0.1413,-0.18319,0.93668,0.3344,0.4021
1349357,0.14937,-0.19206,0.95066,0.3956,0.2828
1349373,0.14766,-0.18848,0.947,0.0459,0.0862
1349389,0.14532,-0.18513,0.94331,0.0,0.0
1349405,0.1422,-0.18262,0.94304,0.0,0.2127
1349421,0.14669,-0.18169,0.94286,0.2651,0.3916
1349437,0.14959,-0.18636,0.94309,0.3908,0.3014
1349453,0.14643,-0.183,0.94476,0.1909,0.1281
1349470,0.1438,-0.1827,0.94687,0.0,0.0
1349486,0.14454,-0.17788,0.94722,0.0,0.174
1349502,0.14427,-0.18091,0.94788,0.2208,0.3827
1349518,0.147,-0.1825,0.94579,0.4174,0.3336
1349534,0.14843,-0.18915,0.94531,0.2571,0.166
1349550,0.15145,-0.19181,0.94177,0.0,0.0
1349566,0.15073,-0.18379,0.94226,0.0,0.1458
1349582,0.14837,-0.18132,0.94445,0.1926,0.3707
1349598,0.14745,-0.17898,0.94613,0.4271,0.3924
1349615,0.1473,-0.1868,0.94375,0.3344,0.199
1349631,0.15105,-0.1876,0.94213,0.0,0.0024
1349646,0.14887,-0.18012,0.94484,0.0,0.1474
1349662,0.14007,-0.16342,0.92507,0.1861,0.365
