t_ms,ax,ay,az,emg_env,emg_raw
110338,0.23127,0.46452,0.82515,0.0,0.7373
110354,0.23112,0.46408,0.82601,0.12,0.9146
110370,0.2312,0.46464,0.82535,0.2877,0.5214
110386,0.23212,0.46429,0.82457,0.1893,0.0798
110401,0.23211,0.46364,0.82348,0.0,0.0709
110418,0.23125,0.46471,0.82542,0.0,0.7293
110434,0.23091,0.46447,0.82525,0.1362,0.9138
110450,0.23071,0.46424,0.82569,0.2869,0.4924
110466,0.23086,0.46438,0.82586,0.1837,0.083
110481,0.23145,0.46485,0.82538,0.0,0.0701
110498,0.23153,0.46447,0.82549,0.0,0.7188
110514,0.23,0.46428,0.82428,0.141,0.8993
110530,0.23094,0.46474,0.82617,0.2893,0.4924
110546,0.23103,0.46496,0.82532,0.1789,0.0846
110561,0.23185,0.46443,0.82671,0.0,0.0669
110578,0.23121,0.46408,0.82436,0.0,0.7059
110594,0.23144,0.46386,0.82659,0.1273,0.8816
110610,0.2307,0.46465,0.8266,0.2957,0.4787
110626,0.23026,0.46521,0.82643,0.1861,0.0854
110641,0.23066,0.4648,0.82384,0.0,0.0628
110658,0.23141,0.46444,0.82452,0.0,0.689
110674,0.23158,0.46389,0.82542,0.137,0.8671
110690,0.23177,0.46562,0.8254,0.3086,0.494
110706,0.23151,0.46497,0.82586,0.1877,0.0838
110722,0.23026,0.46473,0.82452,0.0,0.0
110738,0.22981,0.46435,0.8256,0.0,0.6172
110754,0.23096,0.46415,0.82499,0.1176,0.8711
110770,0.23103,0.46543,0.82559,0.3344,0.606
110786,0.2313,0.46492,0.82496,0.2063,0.1265
110803,0.2308,0.46434,0.82422,0.0,0.0
110819,0.23007,0.46424,0.82487,0.0,0.552
110835,0.23161,0.46485,0.82535,0.0798,0.8566
110851,0.23105,0.46466,0.82563,0.328,0.6987
110867,0.23068,0.46521,0.82522,0.2619,0.1636
110882,0.23153,0.4644,0.82585,0.0,0.0
110899,0.23078,0.46415,0.82439,0.0,0.5633
110915,0.23116,0.46439,0.8267,0.0927,0.8663
110931,0.23232,0.46483,0.82537,0.328,0.689
110947,0.23074,0.46492,0.82604,0.2538,0.1644
110963,0.23077,0.46509,0.82547,0.0024,0.0
110979,0.23086,0.46418,0.82639,0.0,0.4843
110995,0.23014,0.46481,0.82552,0.0226,0.8591
111011,0.23135,0.46566,0.82544,0.307,0.7809
111027,0.23129,0.46469,0.82442,0.2764,0.2232
111043,0.23174,0.46344,0.82439,0.0234,0.0
111060,0.23052,0.46487,0.82364,0.0,0.3586
111076,0.23067,0.46418,0.82672,0.0,0.8429
111092,0.23124,0.46492,0.82494,0.249,0.8542
111108,0.2312,0.46354,0.82566,0.3062,0.2998
111124,0.23215,0.46456,0.82374,0.0491,0.0
111140,0.23125,0.46402,0.82628,0.0,0.2345
111156,0.23043,0.46547,0.82527,0.0,0.8115
111172,0.23113,0.46401,0.82697,0.1861,0.8985
111188,0.23114,0.46435,0.82567,0.3054,0.3827
111205,0.22971,0.46383,0.8258,0.1104,0.0153
111221,0.23167,0.46476,0.82435,0.0,0.1128
111237,0.23146,0.46416,0.82589,0.0,0.7631
111253,0.23079,0.46592,0.82568,0.1523,0.9259
111269,0.23066,0.46389,0.82579,0.2925,0.4634
111284,0.2311,0.46486,0.8248,0.0918,0.0024
111301,0.23117,0.46381,0.82679,0.0,0.1096
111317,0.23157,0.46524,0.82587,0.0,0.7688
111333,0.23096,0.46476,0.8241,0.1523,0.934
111349,0.22998,0.46548,0.82423,0.2861,0.4618
111364,0.23154,0.4641,0.82634,0.2006,0.1088
111382,0.23093,0.46475,0.82494,0.0,0.0
111398,0.23147,0.46476,0.82483,0.0,0.6447
111414,0.23159,0.46438,0.82409,0.1217,0.9525
111430,0.23179,0.4651,0.82685,0.3376,0.7059
111446,0.23061,0.4669,0.82496,0.2297,0.1587
111462,0.23124,0.46278,0.8249,0.0,0.0
111478,0.23166,0.46301,0.82515,0.0,0.5818
111494,0.23068,0.46495,0.82573,0.0669,0.9453
111511,0.23059,0.46363,0.82377,0.332,0.7784
111527,0.23009,0.46369,0.82471,0.2756,0.2054
111543,0.23099,0.46313,0.82748,0.0169,0.0
111559,0.23092,0.46469,0.81931,0.0,0.4738
111575,0.23196,0.4618,0.83232,0.0008,0.9243
111591,0.22957,0.46412,0.81931,0.2957,0.8824
111607,0.23287,0.46178,0.83256,0.2933,0.2732
111623,0.2317,0.4656,0.82017,0.0371,0.0
111639,0.23188,0.46134,0.82928,0.0,0.3425
111656,0.23206,0.46267,0.82234,0.0,0.8824
111672,0.23186,0.46229,0.82543,0.2409,0.9009
111688,0.23198,0.46217,0.82701,0.3231,0.3441
111704,0.23129,0.46397,0.82284,0.0548,0.0
111720,0.2327,0.46042,0.82813,0.0,0.1998
111735,0.23153,0.4631,0.82218,0.0,0.8615
111752,0.23168,0.46444,0.82927,0.2345,0.8719
111768,0.23124,0.46469,0.82428,0.3296,0.3199
111784,0.23048,0.46344,0.82508,0.062,0.0
111800,0.23072,0.46298,0.8282,0.0,0.1926
111815,0.23064,0.46476,0.8231,0.0,0.8341
111832,0.23204,0.46288,0.82604,0.2321,0.8446
111848,0.23074,0.46439,0.82479,0.3255,0.3038
111864,0.23155,0.46512,0.82525,0.062,0.0
111880,0.23025,0.46411,0.82601,0.0,0.1797
111895,0.23059,0.46401,0.82468,0.0,0.8074
111912,0.23122,0.46309,0.8251,0.2184,0.8341
111928,0.23228,0.46611,0.82478,0.3191,0.3006
111944,0.22981,0.46868,0.8277,0.0749,0.0
111960,0.22863,0.46614,0.82539,0.0,0.174
111975,0.22976,0.46522,0.82467,0.0,0.7937
111992,0.23093,0.4654,0.82426,0.2321,0.8091
112008,0.23201,0.46412,0.82702,0.3151,0.3038
112024,0.23113,0.46218,0.82484,0.0733,0.0
112040,0.23063,0.46228,0.82542,0.0,0.1636
112055,0.23097,0.46393,0.82657,0.0,0.7937
112072,0.23089,0.46486,0.82502,0.2184,0.8195
112088,0.23132,0.46451,0.82615,0.3086,0.3046
112104,0.23158,0.46391,0.82296,0.0927,0.0008
112120,0.23166,0.46265,0.82556,0.0,0.1499
112135,0.23082,0.46379,0.82533,0.0,0.7905
112152,0.23132,0.46401,0.82439,0.2054,0.8317
112168,0.23028,0.46267,0.82601,0.3175,0.3392
112184,0.23101,0.46361,0.82512,0.0846,0.0008
112200,0.23141,0.46478,0.82594,0.0,0.1329
112215,0.23128,0.46486,0.82527,0.0,0.7921
112232,0.23099,0.46328,0.82653,0.1829,0.8341
112248,0.23067,0.46389,0.82604,0.3167,0.3296
112264,0.23145,0.46474,0.8249,0.0967,0.004
112280,0.23037,0.46297,0.82619,0.0,0.1297
112295,0.23136,0.46425,0.82585,0.0,0.7857
112312,0.23175,0.4644,0.82618,0.2022,0.8437
112328,0.23092,0.46388,0.82583,0.3078,0.34
112344,0.2309,0.46389,0.8247,0.1096,0.0081
112360,0.23242,0.46312,0.825,0.0,0.1176
112375,0.23232,0.46407,0.8244,0.0,0.7889
112392,0.23071,0.46568,0.82476,0.1861,0.847
112408,0.23121,0.46392,0.82636,0.3135,0.3505
112424,0.23167,0.46311,0.82639,0.1144,0.0169
112440,0.23129,0.46405,0.82554,0.0,0.1104
112455,0.23051,0.4641,0.82552,0.0,0.7945
112472,0.23193,0.46396,0.82639,0.1748,0.884
112488,0.23064,0.46365,0.82516,0.2965,0.3642
112504,0.23132,0.46328,0.8259,0.1329,0.0201
112520,0.23092,0.46489,0.82474,0.0,0.083
112535,0.23093,0.46292,0.82619,0.0,0.8115
112552,0.23161,0.46379,0.82567,0.1877,0.9082
112568,0.23154,0.46396,0.82567,0.3086,0.4085
112584,0.23035,0.46494,0.82545,0.1345,0.0266
112600,0.23061,0.46384,0.82626,0.0,0.0773
112616,0.23129,0.46425,0.8255,0.0,0.7639
112632,0.2313,0.46524,0.82566,0.145,0.9517
112648,0.2312,0.46399,0.82594,0.3086,0.498
112664,0.23147,0.46385,0.82521,0.1861,0.0806
112681,0.23117,0.46417,0.82476,0.0,0.0
112697,0.2319,0.46415,0.8251,0.0,0.7027
112713,0.23105,0.46361,0.82597,0.0411,0.9493
112730,0.23128,0.46466,0.82675,0.3215,0.8558
112746,0.23213,0.46383,0.82531,0.2772,0.2401
112762,0.23095,0.46371,0.8251,0.0282,0.0
112778,0.23122,0.46428,0.82589,0.0,0.4207
112794,0.23091,0.46382,0.82528,0.0064,0.9195
112811,0.23137,0.46338,0.82512,0.2748,0.913
112827,0.23218,0.4645,0.82467,0.3054,0.3038
112843,0.23098,0.46437,0.82528,0.0443,0.0
112859,0.23053,0.46295,0.82582,0.0,0.2748
112875,0.23094,0.46421,0.82449,0.0,0.8744
112891,0.23056,0.46436,0.82536,0.2168,0.9388
112907,0.23021,0.46378,0.82679,0.3167,0.3924
112923,0.23172,0.46447,0.82547,0.0782,0.0
112939,0.23107,0.46359,0.82456,0.0,0.1619
112955,0.23061,0.46424,0.82613,0.0,0.8115
112972,0.23161,0.46379,0.82611,0.17,0.9743
112988,0.23033,0.4645,0.82575,0.2941,0.4473
113004,0.23144,0.46371,0.82533,0.1531,0.0572
113020,0.2306,0.4637,0.82521,0.0,0.0306
113035,0.23061,0.46395,0.825,0.0,0.8115
113052,0.23149,0.4632,0.82549,0.166,0.9718
113068,0.23073,0.46376,0.82422,0.2917,0.4601
113084,0.23125,0.46424,0.82515,0.1724,0.0596
113100,0.23084,0.46324,0.82623,0.0,0.0129
113115,0.23236,0.46444,0.82552,0.0,0.8147
113132,0.23132,0.46521,0.82608,0.1474,0.9759
113148,0.23098,0.46363,0.82586,0.2869,0.4754
113164,0.23147,0.46335,0.82633,0.1652,0.0685
113180,0.23111,0.46333,0.82626,0.0,0.0064
113195,0.23103,0.46361,0.82452,0.0,0.8034
113212,0.23198,0.46295,0.8269,0.1345,0.9751
113228,0.23087,0.46394,0.82513,0.2901,0.4787
113244,0.2307,0.46403,0.82542,0.1772,0.0717
