t_ms,ax,ay,az,L_env,L_raw,R_env,R_raw
1027687,0.0997,0.0052,0.9684,0.0,0.5222,0.0,0.1732
1027702,0.0993,0.0096,0.9688,0.0,0.523,0.0,0.1724
1027718,0.1023,0.0101,0.9658,0.0,0.5222,0.0,0.1732
1028003,0.1022,-0.0213,0.9333,0.0,0.5834,0.0,0.1668
1028019,0.0999,0.007,0.9663,0.0,0.5713,0.0,0.1732
1028036,0.0953,0.0029,0.9504,0.0,0.5568,0.0,0.1756
1028052,0.092,-0.0189,0.8944,0.0,0.5536,0.0,0.1732
1028069,0.1203,0.0139,0.983,0.0,0.5472,0.0,0.1716
1028085,0.1117,0.0334,1.071,0.0,0.5431,0.0,0.1716
1028102,0.0984,0.0141,0.9665,0.0,0.5391,0.0,0.17
1028117,0.11,-0.0002,0.9497,0.0,0.5399,0.0,0.1764
1028134,0.0758,-0.0281,0.8761,0.0,0.5359,0.0,0.1748
1028150,0.0826,-0.0207,0.9072,0.0,0.5343,0.0,0.174
1028167,0.1306,0.0321,1.0088,0.0,0.5343,0.0,0.17
1028183,0.1155,0.0484,1.0766,0.0,0.5262,0.0,0.166
1028200,0.0856,0.0059,0.9715,0.0,0.5262,0.0,0.17
1028216,0.0911,-0.0233,0.8735,0.0,0.5262,0.0,0.17
1028233,0.0958,0.0043,0.9606,0.0,0.5302,0.0,0.1732
1028249,0.0983,0.0028,0.954,0.0,0.5254,0.0,0.1724
1028265,0.1007,0.0041,0.9583,0.0,0.5214,0.0,0.1676
1028282,0.1024,0.0145,0.9678,0.0,0.523,0.0,0.1708
1028298,0.1025,0.0051,0.9733,0.0,0.523,0.0,0.17
1028315,0.1013,0.0003,0.9684,0.0,0.5246,0.0,0.1716
1028331,0.1225,0.0409,1.0108,0.0,0.5214,0.0,0.1748
1028348,0.1224,0.0244,1.0455,0.0,0.5262,0.0,0.1716
1028364,0.09,0.0133,0.9222,0.0,0.5206,0.0,0.1732
1028381,0.1106,0.0005,1.0319,0.0,0.5198,0.0,0.1748
1028397,0.1224,0.0096,1.0245,0.0,0.5149,0.0,0.1756
1028413,0.1015,0.0044,0.9852,0.0,0.5222,0.0,0.174
1028430,0.1027,0.0107,0.9936,0.0,0.5198,0.0,0.1748
1028446,0.1066,0.0061,0.9845,0.0,0.5149,0.0,0.174
1028463,0.1026,-0.0049,0.993,0.0,0.5222,0.0,0.1716
1028479,0.0998,0.019,0.9648,0.0,0.5246,0.0,0.1692
1028496,0.0927,0.0153,0.9741,0.0,0.523,0.0,0.1781
1028512,0.0854,-0.0171,0.9318,0.0,0.5254,0.0,0.1764
1028529,0.112,0.0217,0.9606,0.0,0.523,0.0,0.1716
1028545,0.1097,0.0252,0.9742,0.0,0.5262,0.0,0.1716
1028561,0.1011,-0.0075,0.9989,0.0,0.5246,0.0,0.1748
1028577,0.0969,-0.028,0.9897,0.0,0.5318,0.0,0.1748
1028594,0.0897,-0.036,0.9552,0.0,0.531,0.0,0.1748
1028610,0.1073,-0.0039,0.9993,0.0,0.5302,0.0,0.1772
1028627,0.1163,0.003,1.0161,0.0,0.5278,0.0,0.174
1028643,0.1219,-0.0001,1.0214,0.0,0.5246,0.0,0.1732
1028660,0.0987,-0.0008,0.9915,0.0,0.531,0.0,0.1716
1028676,0.1106,0.0138,1.0016,0.0,0.5327,0.0,0.174
1028692,0.1149,0.0223,0.9994,0.0,0.5327,0.0,0.174
1028708,0.1004,0.0151,0.9278,0.0,0.5246,0.0,0.1708
1028725,0.0949,0.0119,0.9137,0.0,0.5133,0.0,0.1676
1028741,0.0933,0.0104,0.9225,0.0,0.5246,0.0,0.1716
1028758,0.0915,0.0172,0.9404,0.0,0.5262,0.0,0.1716
1028774,0.1046,0.0085,0.9318,0.0,0.5254,0.0,0.1772
1028791,0.105,0.021,0.9574,0.0,0.5222,0.0,0.1732
1028807,0.0896,-0.0173,0.912,0.0,0.5214,0.0,0.17
1028823,0.0814,0.0181,0.9234,0.0,0.5214,0.0,0.1708
1028839,0.0996,0.0344,0.9578,0.0,0.5222,0.0,0.1732
1028856,0.0982,-0.0204,0.9399,0.0,0.5246,0.0,0.1748
1028872,0.0991,-0.0234,0.9187,0.0,0.5246,0.0,0.1732
1028889,0.1023,-0.0186,0.9457,0.0,0.5214,0.0,0.1668
1028905,0.0994,0.0152,0.9781,0.0,0.523,0.0,0.17
1028922,0.1039,0.0152,0.9805,0.0,0.519,0.0,0.1724
1028938,0.0974,0.0001,0.9543,0.0,0.5262,0.0,0.1708
1028954,0.1028,0.0068,0.9758,0.0,0.5318,0.0,0.17
1028970,0.1026,0.0083,0.9716,0.0,0.527,0.0,0.1724
1028987,0.105,0.0108,0.9742,0.0,0.5238,0.0,0.1716
1029003,0.1044,0.01,0.9696,0.0,0.5278,0.0,0.1684
1029021,0.1009,0.006,0.983,0.0,0.5278,0.0,0.17
1029037,0.0961,0.0019,0.9543,0.0,0.531,0.0,0.1627
1029054,0.0978,0.0044,0.9348,0.0,0.5318,0.0,0.1748
1029070,0.1052,0.013,0.9386,0.0,0.523,0.0,0.1732
1029087,0.1143,0.032,0.9856,0.0,0.5222,0.0,0.1652
1029103,0.1051,0.0273,0.9819,0.0,0.523,0.0,0.1684
1029120,0.1022,0.0034,0.9742,0.0,0.5246,0.0,0.1708
1029136,0.0981,0.0056,0.9708,0.0,0.531,0.0,0.1724
1029152,0.0957,0.0105,0.9598,0.0,0.5101,0.0,0.1772
1029169,0.1062,0.0114,0.9617,0.0,0.523,0.0,0.1724
1029185,0.1026,0.0096,0.9672,0.0,0.5133,0.0,0.17
1029202,0.1028,0.005,0.9612,0.0,0.5133,0.0,0.1708
1029218,0.099,0.0058,0.9575,0.0,0.5198,0.0,0.1716
1029235,0.1006,0.0077,0.965,0.0,0.5206,0.0,0.174
1029251,0.1028,0.0097,0.9674,0.0,0.5101,0.0,0.1708
1029267,0.1056,0.0092,0.9706,0.0,0.5061,0.0,0.1652
1029284,0.1036,0.0058,0.9716,0.0,0.5053,0.0,0.1708
1029300,0.0973,0.004,0.9414,0.0,0.5149,0.0,0.1732
1029317,0.0986,0.0186,0.9653,0.0,0.523,0.0,0.1732
1029333,0.09,-0.0047,0.9392,0.0,0.5238,0.0,0.1748
1029350,0.0973,0.018,0.9486,0.0,0.5222,0.0,0.1716
1029366,0.0974,0.0054,0.9363,0.0,0.5198,0.0,0.1708
1029383,0.1013,0.0086,0.9724,0.0,0.5278,0.0,0.1716
1029399,0.1031,0.0087,0.9695,0.0,0.5278,0.0,0.1732
1029416,0.0962,-0.0015,0.9521,0.0,0.5391,0.0,0.1772
1029432,0.1057,0.0168,0.9735,0.0,0.5415,0.0,0.1781
1029448,0.1046,0.0059,0.9643,0.0,0.5439,0.0,0.1724
1029465,0.1043,0.0066,0.9698,0.0,0.5504,0.0,0.1748
1029481,0.1014,0.0091,0.9696,0.0,0.5617,0.0,0.1748
1029498,0.1007,0.0074,0.972,0.0,0.5657,0.0,0.1869
1029514,0.1028,0.0058,0.9653,0.0,0.5778,0.0,0.1829
1029531,0.1052,0.008,0.9681,0.0,0.585,0.0,0.1837
1029547,0.1045,0.0091,0.969,0.0,0.5891,0.0,0.1781
1029564,0.1014,0.0086,0.966,0.0,0.5882,0.0,0.174
1029580,0.1021,0.0093,0.9779,0.0,0.5826,0.0,0.1837
1029596,0.1005,0.0078,0.9598,0.0,0.5858,0.0,0.1797
1029613,0.1029,0.0042,0.9744,0.0,0.5778,0.0,0.1845
1029629,0.1107,0.0167,0.986,0.0,0.5737,0.0,0.1732
1029646,0.1036,0.0009,0.9805,0.0,0.5649,0.0,0.1732
1029662,0.1098,0.0121,0.982,0.0,0.5665,0.0,0.1708
1029679,0.1051,0.0114,0.9931,0.0,0.5609,0.0,0.174
1029695,0.0973,-0.0043,0.9542,0.0,0.5625,0.0,0.1764
1029712,0.1041,0.0192,0.9595,0.0,0.5633,0.0,0.1781
1029728,0.1046,0.0123,0.9583,0.0,0.556,0.0,0.1732
1029745,0.1035,0.0115,0.9892,0.0,0.5568,0.0,0.1732
1029761,0.096,-0.0007,0.9515,0.0,0.5536,0.0,0.174
1029777,0.1015,0.0089,0.9628,0.0,0.5584,0.0,0.1748
1029794,0.1004,0.0048,0.9604,0.0,0.5528,0.0,0.1756
1029810,0.1037,0.0109,0.9754,0.0,0.552,0.0,0.166
1029827,0.1028,0.0072,0.9674,0.0,0.5488,0.0,0.1716
1029843,0.1034,0.0102,0.9702,0.0,0.5528,0.0,0.1708
1029860,0.0994,0.0016,0.9666,0.0,0.5504,0.0,0.1748
1029876,0.1042,0.0126,0.9856,0.0,0.5528,0.0,0.1748
1029893,0.1048,0.0189,0.9942,0.0,0.552,0.0,0.1781
1029909,0.1042,0.0173,0.9923,0.0,0.5512,0.0,0.174
1029925,0.1034,0.0143,0.9789,0.0,0.5504,0.0,0.1764
1029942,0.1012,0.005,0.9595,0.0,0.552,0.0,0.1756
1029958,0.099,0.0005,0.958,0.0,0.5504,0.0,0.1781
1029975,0.1006,0.0064,0.9689,0.0,0.5568,0.0,0.1764
1029991,0.1021,0.0118,0.9693,0.0,0.5568,0.0,0.1756
1030008,0.1058,0.0089,0.9692,0.0,0.5455,0.0,0.174
1030024,0.0997,0.0009,0.9572,0.0,0.5488,0.0,0.17
1030041,0.1019,0.0094,0.9672,0.0,0.5455,0.0,0.1716
1030057,0.1012,0.0031,0.9759,0.0,0.5455,0.0,0.1748
1030073,0.1036,0.0065,0.9712,0.0,0.5463,0.0,0.1724
1030090,0.104,0.0031,0.9782,0.0,0.5375,0.0,0.1724
1030106,0.1038,0.0079,0.9684,0.0,0.5343,0.0,0.17
1030123,0.1011,0.0089,0.9702,0.0,0.5343,0.0,0.174
1030140,0.1011,0.0085,0.9661,0.0,0.531,0.0,0.1668
1030156,0.1024,0.0083,0.9693,0.0,0.5318,0.0,0.174
1030173,0.1053,0.0071,0.9662,0.0,0.5262,0.0,0.1756
1030189,0.1031,0.008,0.9736,0.0,0.5214,0.0,0.166
1030206,0.1025,0.0058,0.972,0.0,0.523,0.0,0.166
1030222,0.1002,0.0037,0.9701,0.0,0.5206,0.0,0.1716
1030239,0.1022,0.0054,0.9679,0.0,0.5238,0.0,0.1708
1030255,0.1042,0.0103,0.9699,0.0,0.5327,0.0,0.174
1030271,0.1058,0.0104,0.9692,0.0,0.5327,0.0,0.1772
1030288,0.1036,0.009,0.9716,0.0,0.5375,0.0,0.174
1030304,0.1012,0.0048,0.9752,0.0,0.5351,0.0,0.1748
1030321,0.1013,0.0052,0.9761,0.0,0.5439,0.0,0.1756
1030337,0.1036,0.0065,0.9767,0.0,0.5455,0.0,0.1781
1030354,0.1047,0.009,0.9742,0.0,0.556,0.0,0.1781
1030370,0.1013,0.0071,0.9699,0.0,0.5536,0.0,0.174
1030387,0.1008,0.0038,0.9665,0.0,0.5617,0.0,0.1756
1030403,0.0992,0.0018,0.9645,0.0,0.5592,0.0,0.1732
1030419,0.1011,0.0028,0.9704,0.0,0.5592,0.0,0.1748
1030435,0.1035,0.007,0.9722,0.0,0.5657,0.0,0.1781
1030452,0.1042,0.011,0.9658,0.0,0.5609,0.0,0.1716
1030468,0.1035,0.009,0.9701,0.0,0.5641,0.0,0.1724
1030485,0.1023,0.0061,0.9718,0.0,0.5536,0.0,0.1732
1030501,0.1046,0.007,0.9763,0.0,0.5496,0.0,0.1716
1030518,0.1012,0.0105,0.9579,0.0,0.548,0.0,0.1724
1030534,0.1031,0.0102,0.9613,0.0,0.5472,0.0,0.1764
1030550,0.102,0.0025,0.9687,0.0,0.5488,0.0,0.174
1030566,0.1026,0.0061,0.9795,0.0,0.5472,0.0,0.17
1030583,0.1042,0.01,0.9774,0.0,0.5472,0.0,0.17
1030599,0.1027,0.0104,0.9707,0.0,0.5488,0.0,0.1764
1030616,0.1044,0.0128,0.9636,0.0,0.5528,0.0,0.1764
1030632,0.1046,0.0106,0.9579,0.0,0.5504,0.0,0.1732
1030648,0.1023,0.007,0.9604,0.0,0.548,0.0,0.1732
1030664,0.1017,0.0053,0.9759,0.0,0.5472,0.0,0.1724
