t_ms,ax,ay,az,emg_env,emg_raw
7983,-0.1265,0.0777,0.9727,0.0,0.527
8000,-0.1255,0.0794,0.9647,0.0,0.4424
8016,-0.1268,0.0769,0.9591,0.0,0.0935
8032,-0.1252,0.0771,0.9637,0.0,0.0
8048,-0.1241,0.0779,0.9639,0.0,0.2136
8064,-0.1265,0.0996,1.0059,0.0,0.5053
8080,-0.1192,0.0665,0.9562,0.0,0.4956
8097,-0.1246,0.0834,0.9695,0.0,0.1386
8113,-0.1247,0.0858,0.9565,0.0,0.0016
8129,-0.1239,0.0784,0.955,0.0,0.0999
8145,-0.1253,0.0782,0.9615,0.0,0.4626
8161,-0.1262,0.0784,0.9648,0.0,0.5278
8178,-0.1247,0.0771,0.9627,0.0,0.2232
8194,-0.1238,0.0866,0.9741,0.0,0.0185
8209,-0.1337,0.0627,0.9793,0.0,0.0701
8226,-0.1197,0.0891,0.9653,0.0,0.4505
8242,-0.1272,0.0709,0.9547,0.0,0.5383
8257,-0.1297,0.0881,0.9778,0.0,0.1885
8273,-0.1227,0.0623,0.9553,0.0,0.0137
8290,-0.1271,0.0761,0.9929,0.0,0.0411
8306,-0.1207,0.0878,0.9476,0.0,0.4327
8322,-0.1273,0.069,0.9739,0.0,0.552
8338,-0.1243,0.0785,0.97,0.0,0.2925
8354,-0.1246,0.1029,0.9477,0.0,0.0354
8371,-0.1312,0.0841,0.9504,0.0,0.0
8387,-0.1266,0.0629,0.9753,0.0,0.3827
8403,-0.1234,0.088,0.9871,0.0,0.552
8419,-0.1233,0.0627,0.9513,0.0,0.39
8435,-0.1275,0.1014,0.9496,0.0,0.058
8451,-0.124,0.0619,0.98,0.0,0.0
8467,-0.126,0.0737,0.9673,0.0,0.3231
8484,-0.1266,0.0734,0.971,0.0,0.5455
8500,-0.1253,0.0816,0.9688,0.0,0.4601
8516,-0.1232,0.0739,0.9652,0.0,0.0894
8532,-0.1273,0.0576,0.9683,0.0,0.0
8548,-0.1274,0.054,0.9526,0.0,0.2152
8565,-0.1267,0.0641,0.9601,0.0,0.5222
8581,-0.1269,0.0788,0.9669,0.0,0.5045
8596,-0.1252,0.0801,0.9523,0.0,0.1088
8612,-0.1238,0.0716,0.9445,0.0,0.0
8629,-0.1276,0.0763,0.9561,0.0,0.1829
8645,-0.1282,0.0788,0.9594,0.0,0.5069
8661,-0.1257,0.0756,0.9639,0.0,0.523
8677,-0.1247,0.0774,0.9663,0.0,0.1547
8693,-0.1256,0.0788,0.9667,0.0,0.0
8709,-0.126,0.0783,0.9655,0.0,0.0717
8726,-0.1257,0.0797,0.9651,0.0,0.4714
8742,-0.1255,0.0833,0.9664,0.0,0.552
8758,-0.1273,0.0791,0.9698,0.0,0.2474
8774,-0.1216,0.0894,0.9613,0.0,0.0201
8790,-0.1348,0.0729,0.9837,0.0,0.0
8806,-0.131,0.0831,0.9749,0.0,0.4207
8823,-0.1211,0.0705,0.9668,0.0,0.5729
8839,-0.1242,0.0899,0.9513,0.0,0.357
8855,-0.1253,0.0563,0.9919,0.0,0.0475
8871,-0.1185,0.1023,0.9548,0.0,0.0
8887,-0.1321,0.0722,0.9513,0.0,0.365
8903,-0.1262,0.0944,0.984,0.0,0.5649
8920,-0.1249,0.0553,0.9612,0.0,0.4432
8936,-0.1264,0.0817,0.957,0.0,0.079
8952,-0.1277,0.0861,0.9508,0.0,0.0
8968,-0.1253,0.0891,0.9498,0.0,0.27
8984,-0.1223,0.0733,0.9488,0.0,0.5439
9000,-0.1266,0.0803,0.9694,0.0,0.5004
9017,-0.1253,0.0764,0.9626,0.0,0.12
9033,-0.1262,0.0797,0.9624,0.0,0.0
9049,-0.1264,0.0785,0.9577,0.0,0.1603
9065,-0.1264,0.0782,0.9636,0.0,0.5133
9081,-0.1258,0.0778,0.968,0.0,0.5455
9097,-0.1257,0.0788,0.9684,0.0,0.1877
9114,-0.1259,0.0794,0.9632,0.0,0.0073
9130,-0.1271,0.0698,0.9917,0.0,0.0459
9146,-0.121,0.0771,0.9753,0.0,0.4666
9162,-0.1226,0.0815,0.9439,0.0,0.5762
9178,-0.1325,0.1149,0.9416,0.0,0.4182
9196,-0.1222,0.0885,0.9698,0.0,0.0685
9212,-0.125,0.0769,0.9778,0.0,0.0
9228,-0.1265,0.0803,0.9645,0.0,0.3078
9244,-0.1246,0.0758,0.9622,0.0,0.5609
9260,-0.1252,0.0791,0.9657,0.0,0.4867
9277,-0.1255,0.079,0.9624,0.0,0.1088
9293,-0.1259,0.0797,0.9644,0.0,0.0
9308,-0.1256,0.0782,0.9654,0.0,0.2917
9324,-0.1261,0.0785,0.9654,0.0,0.5463
9341,-0.125,0.0779,0.9648,0.0,0.4932
9357,-0.1253,0.0784,0.965,0.0,0.1104
9373,-0.1251,0.0785,0.9652,0.0,0.0
9389,-0.1258,0.079,0.9659,0.0,0.1668
9405,-0.1252,0.0796,0.9656,0.0,0.5069
9421,-0.1267,0.078,0.9674,0.0,0.5222
9438,-0.126,0.0778,0.9628,0.0,0.1619
9454,-0.1252,0.0781,0.9632,0.0,0.0032
9470,-0.1255,0.0784,0.9643,0.0,0.0653
9486,-0.1251,0.0774,0.9623,0.0,0.4585
9502,-0.1259,0.0784,0.9649,0.0,0.5472
9519,-0.1262,0.0787,0.9644,0.0,0.2498
9535,-0.126,0.0789,0.9646,0.0,0.0298
9550,-0.1252,0.0787,0.963,0.0,0.0451
9566,-0.126,0.0788,0.9653,0.0,0.4489
9583,-0.1258,0.0783,0.9637,0.0,0.5488
9599,-0.1259,0.0779,0.9652,0.0,0.2748
9614,-0.1261,0.078,0.9651,0.0,0.0153
9630,-0.1259,0.0784,0.9648,0.0,0.0218
9647,-0.1254,0.0793,0.9657,0.0,0.4368
9663,-0.1255,0.0786,0.9633,0.0,0.5536
9679,-0.1246,0.0782,0.9639,0.0,0.3046
9695,-0.126,0.0787,0.965,0.0,0.0371
9711,-0.1249,0.0779,0.9616,0.0,0.0
9728,-0.1256,0.078,0.9673,0.0,0.3819
9744,-0.1257,0.0801,0.9667,0.0,0.5568
9760,-0.1252,0.0803,0.9642,0.0,0.4037
